구분,발표처,제목,웹주소
중앙부처,고용노동부,"유연근무, 재택ㆍ원격근무 확산은 부서장 실천부터!","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156461&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,관세청,"관세청-미래창조과학부, 전파법 관련 협업검사 가동","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156455&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,교육부,「초ㆍ중등교육법」 일부개정법률안 입법예고 : 방과후학교 운영 및 지원에 관한 법적 근거 마련,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156452&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,교육부,정부부처 연계 진로체험 프로그램 시범운영 실시,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156450&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,교육부,"경제5단체, 학생들의 진로설계 및 취업 준비에 함께 협력","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156451&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,교육부,6월 수능 모의평가 출제정보 유출 관련자 엄정 조치 및 제도 개선 등 추진,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156453&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,국립공원관리공단,국립공원 공중화장실 143곳에 여성 안심벨 설치,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156443&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,국립전파연구원,적합성평가 진단 및 제도개선을 위한 소통의 장 마련,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156437&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,국립해양조사원,올 여름 바닷가 정보를 한 곳에 모았다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156446&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,국립환경과학원,생활 속 악취 줄인다···과학적인 관리 방안 논의,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156442&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,국세청,납세자 눈높이에 맞춘 양도소득세 원스톱 통합서비스 등장,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156456&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,국토교통부,“3차원 공간정보 무상으로 받아보세요!”···민간에 본격 개방,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156431&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,국토교통부,’15년 칠레 순방 성과로 수자원분야 첫번째 사업 계약체결,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156429&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,국토교통부,국토부-IBK기업은행 ‘중소기업’ 지원에 힘 모은다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156430&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,금융위원회,"정은보 금융위 부위원장, 외국계 의견수렴을 위한외국계 금융회사 CEO 간담회 개최","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156432&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,농림축산식품부,올해는 “김천자두(지리적표시 농식품 59호)”부터 시작합니다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156440&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,농림축산식품부,"이동필 장관, 농협 안성농식품물류센터 방문하여 운영현황 점검 및 현장 관계자 격려","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156462&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,농림축산식품부,"이동필 농림축산식품부장관, 농협 창조농업지원센터 개원식 참석","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156463&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,미래창조과학부,미래부 출연(연) 연구장비 집적화 본격 추진,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156439&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,미래창조과학부,"사물인터넷(IoT) 스타트업, 민ㆍ관이 함께 키운다","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156433&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,미래창조과학부,슈퍼박테리아 퇴치를 위한 항생제 개발,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156435&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,미래창조과학부,4차 산업혁명 견인할 여성 소프트파워 키운다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156434&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,조달청,"조달청, 금년 상반기 신기술제품ㆍ서비스 계약실적 4조 76억원으로 전년 동기 대비 7.3% 신장","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156458&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,조달청,"조달청, 정부3.0 일하는 방식ㆍ조달 관행 개선 추진","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156457&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,중앙전파관리소,이공계 대학생 대상 위성전파분야 인턴십 프로그램 운영,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156436&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,질병관리본부,중증열성혈소판감소증후군(SFTS) 조기 진단과 치료 위한 진료지침 배포,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156428&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,특허청,기업-특허청-관세청이 함께 우리 브랜드를 보호한다!,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156459&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,특허청,"특허청, ‘2016 청소년 발명 페스티벌’ 개최","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156460&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,한국은행,공개시장운영 대상기관 선정,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156464&amp;&amp;pp=10&amp;pg=1"")"
중앙부처,해양수산부,올해도 준법어업을 위한 노력은 계속된다,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156448&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,해양수산부,서태평양 공해상 망간각 독점탐사광구 확보,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156449&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,해양수산부,"우리나라, 올해도 국적선박 안전관리수준 최우수등급 받아","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156447&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,해양수산부,해수부 추천 올 여름 바다여행지 10선,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156445&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,환경부,공기청정기ㆍ차량용 에어컨 OIT 항균필터 위해성 평가결과,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156444&amp;&amp;pp=10&amp;pg=1"")"
